,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C1_posY,C2_posX,C2_posY,C3_posX,C3_posY,C4_posX,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int
703,66698.07101539077,5313.063591420307,2,,4869,6633,,,,66662.47419434505,5253.876842530343,66733.66783643649,5372.250340310269,,,,114.0001418500333,113.573896995416,,,36140.09595841776,21163.577453842103,
704,117994.00255153785,5154.645144585003,2,2005,,11204,,117965.73143089742,5107.004771402802,,,118022.27367217829,5202.285517767205,,,94.27992363812102,,100.08187759884868,,4271.269768282644,,24510.975580699014,
705,79527.75160324719,71694.64816379028,2,,,7952,4377,,,,,79458.52617822948,71718.38486483655,79596.97702826491,71670.911462744,,,108.36769037917018,139.27166246759708,,,38125.45077286474,20765.741072692894
706,65793.49415279651,98959.7886051668,2,,,6527,3394,,,,,65795.00325912079,98975.53344895708,65791.98504647225,98944.04376137652,,,120.99151190288914,121.70192450309246,,,45621.591397116434,3737.422809420964
707,42536.07752491239,56924.153936265095,2,,3019,,1832,,,42553.29304443603,56912.54839716572,,,42518.86200538875,56935.75947536446,,124.58734557283488,,122.09980022816885,,19332.33820963321,,10947.434815921531
708,20726.183347732353,113334.83299550111,2,,1404,1803,,,,20722.36149633718,113289.85084217312,20730.00519912753,113379.81514882912,,,,184.06538040714892,125.21441319372715,,,28369.165153302896,89003.27394238554,
709,79524.8068929233,28813.663431143046,2,,,7955,4365,,,,,79476.41178160223,28855.762482202845,79573.20200424436,28771.564380083248,,,102.70086053405542,122.5095434177806,,,117618.18122417905,11902.063207235806
710,65903.3092720038,97878.98268402359,2,,,6531,3397,,,,,65891.5037020984,97837.11925359003,65915.1148419092,97920.84611445716,,,135.5048447256938,111.8671130395587,,,319955.3500541845,11700.896706502948
711,38764.4819398393,43410.559443662074,2,,,3599,1608,,,,,38716.85880012623,43428.57912411133,38812.10507955236,43392.539763212815,,,122.6338306374828,63.559309424662914,,,52598.52385311805,779.9267653224782
712,60548.517994448746,69990.14174011858,2,,,5965,3000,,,,,60598.38616617482,69997.38453163096,60498.64982272266,69982.89894860619,,,103.3314049707989,131.75023754563358,,,63504.16667867464,8972.919327445557
713,60634.29356648366,60111.32944501951,2,,,5964,3012,,,,,60631.35472439991,60155.85452213072,60637.23240856741,60066.80436790829,,,156.51050117223045,137.24332418616305,,,344842.4233423023,3899.545188016557
